time,elapsed_seconds,message
15:23:01,6.27e-05,PEST++ performance logger started
15:23:01,0.0005812,starting to process control file
15:23:01,0.007418,finished processing control file
15:23:01,0.0286671,loading parcov
15:23:01,0.0087966,beginning iteration 1
15:23:01,0.0001623,commencing to build jacobian parameter sets
15:23:01,0.039486,jacobian parameter sets built, commencing model runs
16:44:47,4905.74,jacobian runs complete, processing runs
16:44:47,0.0366364,processing jacobian runs complete
16:44:47,3.24e-05,saving jacobian and sen files
16:44:47,0.0081542,commencing calculation of upgrade vector
16:44:47,0.0017599,forming JtQJ matrix
16:44:47,0.0041277,commencing to scale JtQJ matrix- first SVD...
16:44:47,3.25e-05,starting REDSVD
16:44:47,0.706263,retrieving REDSVD components
16:44:47,0.004852,triming REDSVD components to 122elements
16:44:47,0.0023772,done REDSVD
16:44:47,0.0376265,S info: rows = 321: cols = 321: size = 103041: nonzeros = 299
16:44:47,4.6e-05,JS
16:44:47,0.00031,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
16:44:47,0.008321,S info: rows = 321: cols = 321: size = 103041: nonzeros = 299
16:44:47,4.22e-05,commencing SVD factorization of lambda-scaled JtQJ
16:44:47,2.01e-05,starting REDSVD
16:44:48,0.758208,retrieving REDSVD components
16:44:48,0.0049641,triming REDSVD components to 116elements
16:44:48,0.0026213,done REDSVD
16:44:48,0.0005676,SVD factorization complete
16:44:48,0.0686738,commencing linear algebra multiplication to compute ugrade
16:44:48,1.81e-05,S info: rows = 321: cols = 321: size = 103041: nonzeros = 299Vt info: rows = 116: cols = 321: size = 37236: nonzeros = 34684
16:44:48,1.21e-05,U info: rows = 321: cols = 116: size = 37236: nonzeros = 34684
16:44:48,1.09e-05,jac info: rows = 178: cols = 321: size = 57138: nonzeros = 4012
16:44:48,0.0395673,linear algebra multiplication to compute ugrade complete
16:44:48,0.0014791,commencing check of parameter bounds and gradients
16:44:48,0.0040704,beginning upgrade vector calculations, lambda = 0.1
16:44:48,0.0316039,commencing calculation of upgrade vector
16:44:48,0.0037189,forming JtQJ matrix
16:44:48,0.0079042,commencing to scale JtQJ matrix- first SVD...
16:44:48,4.25e-05,starting REDSVD
16:44:49,0.541342,retrieving REDSVD components
16:44:49,0.0041852,triming REDSVD components to 121elements
16:44:49,0.0023383,done REDSVD
16:44:49,0.035503,S info: rows = 313: cols = 313: size = 97969: nonzeros = 291
16:44:49,2.67e-05,JS
16:44:49,0.000165,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
16:44:49,0.0047759,S info: rows = 313: cols = 313: size = 97969: nonzeros = 291
16:44:49,2.11e-05,commencing SVD factorization of lambda-scaled JtQJ
16:44:49,1.02e-05,starting REDSVD
16:44:50,0.73719,retrieving REDSVD components
16:44:50,0.005669,triming REDSVD components to 161elements
16:44:50,0.0043575,done REDSVD
16:44:50,0.0005984,SVD factorization complete
16:44:50,0.0918999,commencing linear algebra multiplication to compute ugrade
16:44:50,1.72e-05,S info: rows = 313: cols = 313: size = 97969: nonzeros = 291Vt info: rows = 161: cols = 313: size = 50393: nonzeros = 46851
16:44:50,1.19e-05,U info: rows = 313: cols = 161: size = 50393: nonzeros = 46851
16:44:50,1.11e-05,jac info: rows = 178: cols = 313: size = 55714: nonzeros = 3894
16:44:50,0.0603599,linear algebra multiplication to compute ugrade complete
16:44:50,0.0015821,commencing check of parameter bounds and gradients
16:44:50,0.0001909,commencing calculation of upgrade vector
16:44:50,0.0038177,forming JtQJ matrix
16:44:50,0.0079678,commencing to scale JtQJ matrix- first SVD...
16:44:50,4.08e-05,starting REDSVD
16:44:50,0.394241,retrieving REDSVD components
16:44:50,0.0038108,triming REDSVD components to 122elements
16:44:50,0.0019893,done REDSVD
16:44:50,0.0353661,S info: rows = 311: cols = 311: size = 96721: nonzeros = 289
16:44:50,4.3e-05,JS
16:44:50,0.0003505,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
16:44:50,0.007689,S info: rows = 311: cols = 311: size = 96721: nonzeros = 289
16:44:50,4.42e-05,commencing SVD factorization of lambda-scaled JtQJ
16:44:50,0.0001152,starting REDSVD
16:44:51,0.716916,retrieving REDSVD components
16:44:51,0.0054775,triming REDSVD components to 177elements
16:44:51,0.0038732,done REDSVD
16:44:51,0.0004013,SVD factorization complete
16:44:51,0.110196,commencing linear algebra multiplication to compute ugrade
