0	374326.0587	#1990-01-01
1	374326.0587	#1990-01-02
2	374326.0587	#1990-01-03
3	374326.0587	#1990-01-04
4	374326.0587	#1990-01-05
5	374326.0587	#1990-01-06
6	381665.7853	#1990-01-07
7	171260.2883	#1990-01-08
8	48931.51094	#1990-01-09
9	85630.14415	#1990-01-10
10	154134.2595	#1990-01-11
11	154134.2595	#1990-01-12
12	156580.835	#1990-01-13
13	1597613.832	#1990-01-14
14	2471041.303	#1990-01-15
15	2446575.547	#1990-01-16
16	2150539.906	#1990-01-17
17	1636759.041	#1990-01-18
18	976183.6433	#1990-01-19
19	763331.5707	#1990-01-20
20	763331.5707	#1990-01-21
21	763331.5707	#1990-01-22
22	763331.5707	#1990-01-23
23	763331.5707	#1990-01-24
24	763331.5707	#1990-01-25
25	763331.5707	#1990-01-26
26	763331.5707	#1990-01-27
27	763331.5707	#1990-01-28
28	763331.5707	#1990-01-29
29	763331.5707	#1990-01-30
30	1059367.212	#1990-01-31
31	1242860.378	#1990-02-01
32	1245306.953	#1990-02-02
33	1245306.953	#1990-02-03
34	1255093.256	#1990-02-04
35	1257539.831	#1990-02-05
36	1257539.831	#1990-02-06
37	1257539.831	#1990-02-07
38	1257539.831	#1990-02-08
39	1230627.5	#1990-02-09
40	1215948.047	#1990-02-10
41	1215948.047	#1990-02-11
42	1215948.047	#1990-02-12
43	1215948.047	#1990-02-13
44	1215948.047	#1990-02-14
45	1215948.047	#1990-02-15
46	1671011.099	#1990-02-16
47	1820252.207	#1990-02-17
48	1815359.056	#1990-02-18
49	1815359.056	#1990-02-19
50	1414120.666	#1990-02-20
51	682594.5776	#1990-02-21
52	484421.9583	#1990-02-22
53	477082.2317	#1990-02-23
54	486868.5339	#1990-02-24
55	486868.5339	#1990-02-25
56	486868.5339	#1990-02-26
57	494208.2605	#1990-02-27
58	494208.2605	#1990-02-28
59	494208.2605	#1990-03-01
60	494208.2605	#1990-03-02
61	499101.4116	#1990-03-03
62	503994.5627	#1990-03-04
63	577391.8291	#1990-03-05
64	724186.3619	#1990-03-06
65	729079.513	#1990-03-07
66	729079.513	#1990-03-08
67	631216.4911	#1990-03-09
68	479528.8072	#1990-03-10
69	486868.5339	#1990-03-11
70	489315.1094	#1990-03-12
71	486868.5339	#1990-03-13
72	486868.5339	#1990-03-14
73	486868.5339	#1990-03-15
74	486868.5339	#1990-03-16
75	486868.5339	#1990-03-17
76	486868.5339	#1990-03-18
77	415917.843	#1990-03-19
78	366986.3321	#1990-03-20
79	369432.9076	#1990-03-21
80	303375.3678	#1990-03-22
81	256890.4324	#1990-03-23
82	269123.3102	#1990-03-24
83	269123.3102	#1990-03-25
84	261783.5835	#1990-03-26
85	259337.008	#1990-03-27
86	256890.4324	#1990-03-28
87	264230.1591	#1990-03-29
88	261783.5835	#1990-03-30
89	261783.5835	#1990-03-31
90	92969.87079	#1990-04-01
91	85630.14415	#1990-04-02
92	85630.14415	#1990-04-03
93	85630.14415	#1990-04-04
94	105202.7485	#1990-04-05
95	129668.504	#1990-04-06
96	129668.504	#1990-04-07
97	129668.504	#1990-04-08
98	129668.504	#1990-04-09
99	139454.8062	#1990-04-10
100	149241.1084	#1990-04-11
101	154134.2595	#1990-04-12
102	159027.4106	#1990-04-13
103	166367.1372	#1990-04-14
104	176153.4394	#1990-04-15
105	183493.166	#1990-04-16
106	176153.4394	#1990-04-17
107	166367.1372	#1990-04-18
108	163920.5617	#1990-04-19
109	168813.7127	#1990-04-20
110	166367.1372	#1990-04-21
111	166367.1372	#1990-04-22
112	149241.1084	#1990-04-23
113	134561.6551	#1990-04-24
114	154134.2595	#1990-04-25
115	166367.1372	#1990-04-26
116	166367.1372	#1990-04-27
117	166367.1372	#1990-04-28
118	166367.1372	#1990-04-29
119	168813.7127	#1990-04-30
120	171260.2883	#1990-05-01
121	183493.166	#1990-05-02
122	203065.7704	#1990-05-03
123	244657.5547	#1990-05-04
124	291142.4901	#1990-05-05
125	291142.4901	#1990-05-06
126	288695.9146	#1990-05-07
127	332734.2744	#1990-05-08
128	428150.7207	#1990-05-09
129	423257.5696	#1990-05-10
130	423257.5696	#1990-05-11
131	423257.5696	#1990-05-12
132	425704.1452	#1990-05-13
133	423257.5696	#1990-05-14
134	423257.5696	#1990-05-15
135	428150.7207	#1990-05-16
136	433043.8718	#1990-05-17
137	459956.2028	#1990-05-18
138	486868.5339	#1990-05-19
139	486868.5339	#1990-05-20
140	308268.5189	#1990-05-21
141	183493.166	#1990-05-22
142	114989.0507	#1990-05-23
143	88076.71969	#1990-05-24
144	146794.5328	#1990-05-25
145	183493.166	#1990-05-26
146	183493.166	#1990-05-27
147	183493.166	#1990-05-28
148	117435.6263	#1990-05-29
149	68504.11532	#1990-05-30
150	68504.11532	#1990-05-31
151	68504.11532	#1990-06-01
152	68504.11532	#1990-06-02
153	68504.11532	#1990-06-03
154	68504.11532	#1990-06-04
155	68504.11532	#1990-06-05
156	562712.3758	#1990-06-06
157	927252.1323	#1990-06-07
158	927252.1323	#1990-06-08
159	927252.1323	#1990-06-09
160	927252.1323	#1990-06-10
161	924805.5568	#1990-06-11
162	937038.4345	#1990-06-12
163	939485.0101	#1990-06-13
164	939485.0101	#1990-06-14
165	626323.34	#1990-06-15
166	205512.346	#1990-06-16
167	215298.6481	#1990-06-17
168	220191.7992	#1990-06-18
169	217745.2237	#1990-06-19
170	215298.6481	#1990-06-20
171	281356.1879	#1990-06-21
172	354753.4543	#1990-06-22
173	357200.0299	#1990-06-23
174	357200.0299	#1990-06-24
175	354753.4543	#1990-06-25
176	340074.001	#1990-06-26
177	335180.8499	#1990-06-27
178	340074.001	#1990-06-28
179	342520.5766	#1990-06-29
180	342520.5766	#1990-06-30
181	342520.5766	#1990-07-01
182	364539.7565	#1990-07-02
183	376772.6342	#1990-07-03
184	369432.9076	#1990-07-04
185	401238.3897	#1990-07-05
186	506441.1382	#1990-07-06
187	562712.3758	#1990-07-07
188	548032.9225	#1990-07-08
189	548032.9225	#1990-07-09
190	552926.0736	#1990-07-10
191	552926.0736	#1990-07-11
192	565158.9514	#1990-07-12
193	577391.8291	#1990-07-13
194	592071.2824	#1990-07-14
195	584731.5557	#1990-07-15
196	582284.9802	#1990-07-16
197	584731.5557	#1990-07-17
198	587178.1313	#1990-07-18
199	584731.5557	#1990-07-19
200	582284.9802	#1990-07-20
201	582284.9802	#1990-07-21
202	584731.5557	#1990-07-22
203	584731.5557	#1990-07-23
204	592071.2824	#1990-07-24
205	592071.2824	#1990-07-25
206	592071.2824	#1990-07-26
207	587178.1313	#1990-07-27
208	592071.2824	#1990-07-28
209	592071.2824	#1990-07-29
210	592071.2824	#1990-07-30
211	592071.2824	#1990-07-31
212	587178.1313	#1990-08-01
213	584731.5557	#1990-08-02
214	582284.9802	#1990-08-03
215	582284.9802	#1990-08-04
216	582284.9802	#1990-08-05
217	582284.9802	#1990-08-06
218	594517.8579	#1990-08-07
219	587178.1313	#1990-08-08
220	582284.9802	#1990-08-09
221	582284.9802	#1990-08-10
222	582284.9802	#1990-08-11
223	582284.9802	#1990-08-12
224	592071.2824	#1990-08-13
225	592071.2824	#1990-08-14
226	589624.7068	#1990-08-15
227	582284.9802	#1990-08-16
228	587178.1313	#1990-08-17
