time,pr_day_CNRM-CM5_rcp85
2006-01-01 00:00:00+00:00,0.0
2006-01-02 00:00:00+00:00,0.0
2006-01-03 00:00:00+00:00,0.0
2006-01-04 00:00:00+00:00,0.0
2006-01-05 00:00:00+00:00,0.0
2006-01-06 00:00:00+00:00,0.0
2006-01-07 00:00:00+00:00,0.0
2006-01-08 00:00:00+00:00,0.0
2006-01-09 00:00:00+00:00,0.0
2006-01-10 00:00:00+00:00,1.884392e-05
2006-01-11 00:00:00+00:00,1.7136259e-05
2006-01-12 00:00:00+00:00,3.6491496e-05
2006-01-13 00:00:00+00:00,1.1056325e-06
2006-01-14 00:00:00+00:00,0.0
2006-01-15 00:00:00+00:00,3.156047e-06
2006-01-16 00:00:00+00:00,0.0
2006-01-17 00:00:00+00:00,2.8007178e-06
2006-01-18 00:00:00+00:00,3.9483044e-07
2006-01-19 00:00:00+00:00,0.0
2006-01-20 00:00:00+00:00,6.586045e-05
2006-01-21 00:00:00+00:00,0.0
2006-01-22 00:00:00+00:00,0.0
2006-01-23 00:00:00+00:00,0.0
2006-01-24 00:00:00+00:00,0.0
2006-01-25 00:00:00+00:00,0.0
2006-01-26 00:00:00+00:00,0.0
2006-01-27 00:00:00+00:00,0.0
2006-01-28 00:00:00+00:00,7.486229e-07
2006-01-29 00:00:00+00:00,0.00011848714
2006-01-30 00:00:00+00:00,0.00021250987
2006-01-31 00:00:00+00:00,0.00016826493
2006-02-01 00:00:00+00:00,0.0
2006-02-02 00:00:00+00:00,6.2880754e-05
2006-02-03 00:00:00+00:00,0.0
2006-02-04 00:00:00+00:00,0.0
2006-02-05 00:00:00+00:00,0.0002752569
2006-02-06 00:00:00+00:00,0.0007749324
2006-02-07 00:00:00+00:00,0.00046465173
2006-02-08 00:00:00+00:00,0.00019304323
2006-02-09 00:00:00+00:00,0.00017124628
2006-02-10 00:00:00+00:00,0.00017716737
2006-02-11 00:00:00+00:00,0.00034529087
2006-02-12 00:00:00+00:00,0.000415101
2006-02-13 00:00:00+00:00,0.00017416434
2006-02-14 00:00:00+00:00,3.7067732e-06
2006-02-15 00:00:00+00:00,1.5742796e-06
2006-02-16 00:00:00+00:00,0.0
2006-02-17 00:00:00+00:00,0.0
2006-02-18 00:00:00+00:00,2.3681638e-05
2006-02-19 00:00:00+00:00,0.0
2006-02-20 00:00:00+00:00,0.0
2006-02-21 00:00:00+00:00,0.0
2006-02-22 00:00:00+00:00,0.0
2006-02-23 00:00:00+00:00,0.0
2006-02-24 00:00:00+00:00,0.0
2006-02-25 00:00:00+00:00,0.0
2006-02-26 00:00:00+00:00,0.0
2006-02-27 00:00:00+00:00,5.3331365e-07
2006-02-28 00:00:00+00:00,0.0
2006-03-01 00:00:00+00:00,0.0
2006-03-02 00:00:00+00:00,0.0
2006-03-03 00:00:00+00:00,0.0
2006-03-04 00:00:00+00:00,2.63749e-05
2006-03-05 00:00:00+00:00,1.1862282e-05
2006-03-06 00:00:00+00:00,5.1729814e-05
2006-03-07 00:00:00+00:00,5.0061404e-05
2006-03-08 00:00:00+00:00,0.0
2006-03-09 00:00:00+00:00,0.0
2006-03-10 00:00:00+00:00,2.8588975e-06
2006-03-11 00:00:00+00:00,5.40964e-05
2006-03-12 00:00:00+00:00,0.0001013564
2006-03-13 00:00:00+00:00,1.626491e-05
2006-03-14 00:00:00+00:00,2.9897537e-06
2006-03-15 00:00:00+00:00,3.3206892e-05
2006-03-16 00:00:00+00:00,0.0
2006-03-17 00:00:00+00:00,0.0
2006-03-18 00:00:00+00:00,1.8895988e-05
2006-03-19 00:00:00+00:00,5.1415477e-06
2006-03-20 00:00:00+00:00,1.8923058e-05
2006-03-21 00:00:00+00:00,4.8239304e-05
2006-03-22 00:00:00+00:00,1.0938695e-05
2006-03-23 00:00:00+00:00,0.0
