pname,pvalue,type,id
backflag,1,int,0
backreduce,0.8,float,0
backtol,1.4,float,0
dbdgamma,0,float,0
dbdkappa,1.00E-05,float,0
dbdtheta,0.661868571,float,0
epsrn,0.007089532,float,0
fluxtol,200000,float,0
hclosexmd,0.012953145,float,0
headtol,0.35,float,0
iacl,1,int,0
ibotav,1,int,0
idroptol,1,int,0
ilumethod,2,int,0
iprnwt,1,int,0
iredsys,0,int,0
level,7,int,0
levfill,5,int,0
linmeth,2,int,0
maxbackiter,50,int,0
maxiterout,100,int,0
maxitinner,50,int,0
momfact,0.1,float,0
msdr,15,int,0
mxiterxmd,20,int,0
norder,0,int,0
north,7,int,0
rrctols,0,float,0
stoptol,1.00E-10,float,0
thickfact,1.14E-06,float,0
backflag,1,int,1
backreduce,0.8,float,1
backtol,1.4,float,1
dbdgamma,0,float,1
dbdkappa,1.00E-05,float,1
dbdtheta,0.755950635,float,1
epsrn,0.006268461,float,1
fluxtol,200000,float,1
hclosexmd,0.002511063,float,1
headtol,0.35,float,1
iacl,1,int,1
ibotav,1,int,1
idroptol,1,int,1
ilumethod,2,int,1
iprnwt,1,int,1
iredsys,0,int,1
level,7,int,1
levfill,5,int,1
linmeth,2,int,1
maxbackiter,50,int,1
maxiterout,100,int,1
maxitinner,50,int,1
momfact,0.1,float,1
msdr,15,int,1
mxiterxmd,20,int,1
norder,0,int,1
north,7,int,1
rrctols,0,float,1
stoptol,1.00E-10,float,1
thickfact,4.52E-06,float,1
backflag,1,int,2
backreduce,0.8,float,2
backtol,1.4,float,2
dbdgamma,0,float,2
dbdkappa,1.00E-05,float,2
dbdtheta,0.829539012,float,2
epsrn,0.038396707,float,2
fluxtol,200000,float,2
hclosexmd,0.013980186,float,2
headtol,0.35,float,2
iacl,1,int,2
ibotav,1,int,2
idroptol,1,int,2
ilumethod,2,int,2
iprnwt,1,int,2
iredsys,0,int,2
level,7,int,2
levfill,5,int,2
linmeth,2,int,2
maxbackiter,50,int,2
maxiterout,100,int,2
maxitinner,50,int,2
momfact,0.1,float,2
msdr,15,int,2
mxiterxmd,20,int,2
norder,0,int,2
north,7,int,2
rrctols,0,float,2
stoptol,1.00E-10,float,2
thickfact,4.40E-06,float,2
backflag,1,int,3
backreduce,0.8,float,3
backtol,1.4,float,3
dbdgamma,0,float,3
dbdkappa,1.00E-05,float,3
dbdtheta,0.958143607,float,3
epsrn,0.010335959,float,3
fluxtol,200000,float,3
hclosexmd,0.011363489,float,3
headtol,0.35,float,3
iacl,1,int,3
ibotav,1,int,3
idroptol,1,int,3
ilumethod,2,int,3
iprnwt,1,int,3
iredsys,0,int,3
level,7,int,3
levfill,5,int,3
linmeth,2,int,3
maxbackiter,50,int,3
maxiterout,100,int,3
maxitinner,50,int,3
momfact,0.1,float,3
msdr,15,int,3
mxiterxmd,20,int,3
norder,0,int,3
north,7,int,3
rrctols,0,float,3
stoptol,1.00E-10,float,3
thickfact,5.28E-06,float,3
backflag,1,int,4
backreduce,0.8,float,4
backtol,1.4,float,4
dbdgamma,0,float,4
dbdkappa,1.00E-05,float,4
dbdtheta,0.983457653,float,4
epsrn,0.046713516,float,4
fluxtol,200000,float,4
hclosexmd,0.069962742,float,4
headtol,0.35,float,4
iacl,1,int,4
ibotav,1,int,4
idroptol,1,int,4
ilumethod,2,int,4
iprnwt,1,int,4
iredsys,0,int,4
level,7,int,4
levfill,5,int,4
linmeth,2,int,4
maxbackiter,50,int,4
maxiterout,100,int,4
maxitinner,50,int,4
momfact,0.1,float,4
msdr,15,int,4
mxiterxmd,20,int,4
norder,0,int,4
north,7,int,4
rrctols,0,float,4
