station_ID,station_name,GSFLOW_Zone_ID,Data_Type,Source,LAT,LONGITUDE,fn_start
USC00049684,WILLITS_1_NE,1,Precip,GHCND,39.4194,-123.3425,pr
USC00047109,POTTER_VALLEY_P_H,2,Precip,GHCND,39.3619,-123.1286,pr
USC00049122,UKIAH,3,Precip,GHCND,39.1466,-123.2102,pr
LYONSVALLEY,LYONSVALLEY,4,Precip,RAWS,39.130001,-123.07,pr
USC00049124,UKIAH_4_WSW,5,Precip,GHCND,39.1266,-123.2719,pr
85,Hopland_FS,6,Precip,CIMIS,39.006747,-123.08012,pr
BOONVILLE,BOONVILLE,7,Precip,RAWS,38.990002,-123.349998,pr
USC00041838,CLOVERDALE,8,Precip,GHCND,38.79296,-123.0263,pr
HAWKEYE,HAWKEYE,9,Precip,RAWS,38.779999,-122.919998,pr
USC00043875,HEALDSBURG,10,Precip,GHCND,38.62935,-122.86646,pr
USC00041312,CALISTOGA,11,Precip,GHCND,38.62935,-122.86646,pr
103,Windsor,12,Precip,CIMIS,38.52665,-122.813758,pr
USC00043191,FT_ROSS,13,Precip,GHCND,38.515,-123.2447,pr
USC00043578,GRATON,14,Precip,GHCND,38.4305,-122.8647,pr
USC00046370,OCCIDENTAL,15,Precip,GHCND,38.3858,-122.9661,pr
USC00043875,HEALDSBURG,1,Tmax,GHCND,38.62935,-122.86646,tasmax
USC00049122,UKIAH,2,Tmax,GHCND,39.1466,-123.2102,tasmax
106,Sanel_Valley,3,Tmax,CIMIS,38.982581,-123.089280,tasmax
83,Santa_Rosa,4,Tmax,CIMIS,38.40355,-122.79993,tasmax
USR0000CHAW,HAWKEYE_CALIFORNIA,5,Tmax,GHCND,38.7817,-122.916901,tasmax
USC00047109,POTTER_VALLEY_P_H,6,Tmax,GHCND,39.3619,-123.128601,tasmax
LYONSVALLEY,LYONSVALLEY,7,Tmax,RAWS,39.130001,-123.07,tasmax
USR0000CSRS,SANTA_ROSA_CALIFORNIA,8,Tmax,GHCND,38.4786,-122.711899,tasmax
USC00043875,HEALDSBURG,1,Tmin,GHCND,38.62935,-122.86646,tasmin
USC00049122,UKIAH,2,Tmin,GHCND,39.1466,-123.2102,tasmin
106,Sanel_Valley,3,Tmin,CIMIS,38.982581,-123.089280,tasmin
83,Santa_Rosa,4,Tmin,CIMIS,38.40355,-122.79993,tasmin
USR0000CHAW,HAWKEYE_CALIFORNIA,5,Tmin,GHCND,38.7817,-122.916901,tasmin
USC00047109,POTTER_VALLEY_P_H,6,Tmin,GHCND,39.3619,-123.128601,tasmin
LYONSVALLEY,LYONSVALLEY,7,Tmin,RAWS,39.130001,-123.07,tasmin
USR0000CSRS,SANTA_ROSA_CALIFORNIA,8,Tmin,GHCND,38.4786,-122.711899,tasmin
