time,elapsed_seconds,message
11:06:25,7.13e-05,PEST++ performance logger started
11:06:25,0.0007939,starting to process control file
11:06:25,0.497537,finished processing control file
11:06:26,0.0482905,loading parcov
11:06:26,0.208463,beginning iteration 1
11:06:26,0.0004922,commencing to build jacobian parameter sets
11:06:26,0.434803,jacobian parameter sets built, commencing model runs
20:16:52,33025.7,jacobian runs complete, processing runs
20:16:58,6.54655,processing jacobian runs complete
20:16:58,0.0001105,saving jacobian and sen files
20:17:22,23.1925,commencing calculation of upgrade vector
20:17:33,11.3121,forming JtQJ matrix
20:17:37,3.60595,commencing to scale JtQJ matrix- first SVD...
20:17:37,0.0020089,starting REDSVD
20:17:38,1.33225,retrieving REDSVD components
20:17:38,0.0031836,triming REDSVD components to 368elements
20:17:38,0.0059438,done REDSVD
20:17:38,0.0343101,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307
20:17:38,3.38e-05,JS
20:17:38,0.210428,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
20:17:42,3.71323,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307
20:17:42,6.28e-05,commencing SVD factorization of lambda-scaled JtQJ
20:17:42,1.21e-05,starting REDSVD
20:17:42,0.562322,retrieving REDSVD components
20:17:42,0.00298,triming REDSVD components to 295elements
20:17:42,0.0009314,done REDSVD
20:17:42,0.0002408,SVD factorization complete
20:17:42,0.0858402,commencing linear algebra multiplication to compute ugrade
20:17:42,1.86e-05,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307Vt info: rows = 295: cols = 368: size = 108560: nonzeros = 90565
20:17:42,1.15e-05,U info: rows = 368: cols = 295: size = 108560: nonzeros = 90565
20:17:42,1.2e-05,jac info: rows = 40347: cols = 368: size = 14847696: nonzeros = 9641121
20:17:43,0.155048,linear algebra multiplication to compute ugrade complete
20:17:43,0.0118406,commencing check of parameter bounds and gradients
20:17:43,0.118821,beginning upgrade vector calculations, lambda = 0.1
20:17:43,0.0001696,commencing calculation of upgrade vector
20:17:54,11.1587,forming JtQJ matrix
20:17:58,3.59531,commencing to scale JtQJ matrix- first SVD...
20:17:58,7.18e-05,starting REDSVD
20:17:59,1.32578,retrieving REDSVD components
20:17:59,0.0032835,triming REDSVD components to 368elements
20:17:59,0.0023592,done REDSVD
20:17:59,0.0357364,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307
20:17:59,4.69e-05,JS
20:17:59,0.208171,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
20:18:03,3.71369,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307
20:18:03,6.39e-05,commencing SVD factorization of lambda-scaled JtQJ
20:18:03,1.22e-05,starting REDSVD
20:18:03,0.553199,retrieving REDSVD components
20:18:03,0.0029231,triming REDSVD components to 295elements
20:18:03,0.0008976,done REDSVD
20:18:03,0.0001795,SVD factorization complete
20:18:03,0.0842363,commencing linear algebra multiplication to compute ugrade
20:18:03,2.45e-05,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307Vt info: rows = 295: cols = 368: size = 108560: nonzeros = 90565
20:18:03,1.17e-05,U info: rows = 368: cols = 295: size = 108560: nonzeros = 90565
20:18:03,1.12e-05,jac info: rows = 40347: cols = 368: size = 14847696: nonzeros = 9641121
20:18:04,0.155144,linear algebra multiplication to compute ugrade complete
20:18:04,0.0113078,commencing check of parameter bounds and gradients
20:18:04,0.000654,commencing calculation of upgrade vector
20:18:15,11.3163,forming JtQJ matrix
20:18:19,3.59961,commencing to scale JtQJ matrix- first SVD...
20:18:19,7.3e-05,starting REDSVD
20:18:20,1.32964,retrieving REDSVD components
20:18:20,0.0030633,triming REDSVD components to 368elements
20:18:20,0.0025079,done REDSVD
20:18:20,0.0337985,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307
20:18:20,2.58e-05,JS
20:18:20,0.209555,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
20:18:24,3.71279,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307
20:18:24,6.36e-05,commencing SVD factorization of lambda-scaled JtQJ
20:18:24,8.31e-05,starting REDSVD
20:18:24,0.553812,retrieving REDSVD components
20:18:24,0.003049,triming REDSVD components to 295elements
20:18:24,0.0010043,done REDSVD
20:18:24,0.0002413,SVD factorization complete
20:18:24,0.0838919,commencing linear algebra multiplication to compute ugrade
20:18:24,2.08e-05,S info: rows = 368: cols = 368: size = 135424: nonzeros = 307Vt info: rows = 295: cols = 368: size = 108560: nonzeros = 90565
20:18:24,1.21e-05,U info: rows = 368: cols = 295: size = 108560: nonzeros = 90565
20:18:24,1.12e-05,jac info: rows = 40347: cols = 368: size = 14847696: nonzeros = 9641121
20:18:25,0.153103,linear algebra multiplication to compute ugrade complete
20:18:25,0.0118197,commencing check of parameter bounds
