totim,name,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18,ZONE_19,ZONE_20,ZONE_21,ZONE_22
1.0,FROM_CONSTANT_HEAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_WELLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_STREAM_LEAKAGE,1219.7185,10780.035,1462.1501,9316.896,6467.3486,32543.934,1933.9705,12179.042,12292.975,33212.195,11846.109,15057.193,959.7697,8198.294,1982.3026,23378.44,31929.438,153785.25,1251.245,0.0,17899.562,27981.299
1.0,FROM_LAKE_SEEPAGE,578.54004,164.92044,2419.093,0.0,0.0,2418.936,0.0,0.0,0.0,0.0,1586.1771,0.0,0.0,1154.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169805.94
1.0,FROM_GW_ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_UZF_RECHARGE,28384.29,12720.545,1891.6105,29943.787,22178.03,23535.502,2695.4658,16667.447,17444.143,11294.95,13590.696,20776.66,798.091,4872.505,2932.683,10256.612,7321.618,17547.518,2879.3206,28782.84,10744.76,15833.034
1.0,FROM_SURFACE_LEAKAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_HORT+DUNN,380114.5,339246.88,38773.223,248263.25,232273.98,558476.2,56439.605,262186.5,252350.19,126866.64,160470.44,157530.23,8191.5547,146335.6,43612.26,177209.44,71741.664,201386.45,64375.883,352170.47,312608.88,604231.1
1.0,FROM_STORAGE_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_1,0.0,0.04555707,893.1318,144.59729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_2,0.00939887,0.0,12.507026,0.0057392046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_3,111.51503,0.5048946,0.0,38.49337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_4,330.24384,0.006254408,649.8268,0.0,1489.1696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_5,0.0,0.0,0.0,706.1188,0.0,1982.2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_6,0.0,0.0,0.0,0.0,71.01875,0.0,0.0,0.033759367,318.86426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018643826
1.0,FROM_ZONE_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.21906,0.0,0.0,0.0022712317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_8,0.0,0.0,0.0,0.0,0.0,0.023767926,18.468695,0.0,772.4866,0.082560085,0.041530106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_9,0.0,0.0,0.0,0.0,0.0,14.203494,0.0,572.6526,0.0,928.6594,0.0,0.0,0.0,0.03573595,0.008100168,0.0,0.0,0.0,0.0,0.0,0.0,0.039020628
1.0,FROM_ZONE_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010270762,52.83537,0.0,0.004091187,6214.6846,0.0,0.0,0.00019537633,9.714489,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0032596989,0.0040237494,0.0,0.019066865,0.0,3854.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.746096,2530.276,0.0,1101.7096,0.0,0.0,0.8539356,0.0045149624,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7977,0.0,0.0,0.0,0.0,18.84008,0.0,0.0,0.0,0.0,0.0
